Name,Role_Type,Associated_Channel
Rocio Guerrero,Role,Latin Music
Trinity Colón,Role,Latin Pop/Urban
Al Skop,Role,The Highway
Jeff Regan,Role,Alt Nation
Geronimo,Role,BPM / Dance
Kirsten,Role,Radio Margaritaville
Chris Muckley,Role,SiriusXMU
Ron Mills,Role,HipHop/R&B
B.J. Stone,Role,Pop Hits
Ismael Santa Cruz,Role,Latin Music
Kid Leo,Role,Underground Garage
Music Director,Role,Águila
Music Director,Role,Caliente
Program Director,Role,Hip Hop Nation
Music Director,Role,Octane
Program Director,Role,Pitbull's Globalization
Program Director,Role,Shaggy's Boombastic Radio
Program Director,Role,Milagro Radio
Cody Alan,DJ/Host,The Highway
Buzz Brainard,DJ/Host,The Highway
Ania Hammar,DJ/Host,The Highway
Torae,DJ/Host,Hip Hop Nation
Madison,DJ/Host,Alt Nation
Jose Mangin,DJ/Host,Octane
Kayla Riley,DJ/Host,Octane
Caity Babs,DJ/Host,Octane
Shannon Gunz,DJ/Host,Octane
Richard Blade,DJ/Host,1st Wave
Liquid Todd,DJ/Host,BPM
Jenny Eliscu,DJ/Host,SiriusXMU
Earle Bailey,DJ/Host,Deep Tracks
Meg Griffin,DJ/Host,Deep Tracks
Cayman Kelly,DJ/Host,FLY
Heather B.,DJ/Host,FLY
Marisol El Bombón,DJ/Host,Caliente
AJ El Kallejero,DJ/Host,Flow Nación
Stefi Chacon,DJ/Host,Viva
Israel Salazar,DJ/Host,Águila
Bryant Pino,DJ/Host,Águila
Diane Fong,DJ/Host,Latidos
DJ Kito,DJ/Host,Caliente
Sandra Peña,DJ/Host,Caliente
DJ C-Riz,DJ/Host,Flow Nación
Marco Juárez,Role,Pandora Regional Mexican
